first_name,last_name,extref_no,hire_date,term_date,rehire_date,orig_hire_date,inet_email_home,zip_code,sex
Jennifer,Medina,27389,2021-02-10,,,2021-02-10,morgan17@hinton.com,61928,M
Robert,Lloyd,44121,2022-12-11,2024-02-22,2024-02-23,2018-05-06,obautista@rogers-park.com,33258,M
Aaron,Bell,15132,2023-03-19,2023-07-18,2024-03-08,2016-01-04,brittany60@conway-bennett.com,57696,M
Joseph,James,11876,2020-01-20,,,2020-01-20,jessicaklein@rivera-cole.com,76940,F
Willie,Baker,32221,2019-08-04,,,2019-08-04,brenda75@hotmail.com,47625,F
Travis,Donovan,54621,2019-05-24,,,2019-05-24,hsimon@yahoo.com,02084,M
Matthew,Welch,49886,2023-12-03,,,2023-12-03,eacosta@gmail.com,62151,F
Joyce,Watson,11220,2022-04-12,,,2022-04-12,rayholly@yahoo.com,65799,M
Austin,Hammond,58821,2022-04-15,2024-03-09,2024-03-10,2016-09-16,johnspencer@ray-payne.org,39370,F
Rebekah,Hancock,99397,2021-08-02,,,2021-08-02,jeffreywaller@gmail.com,53828,M
Brian,Torres,70472,2020-02-29,2020-07-17,,2020-02-29,monica99@yahoo.com,98400,M
Ralph,Patel,82825,2019-05-14,,,2019-05-14,shawnsanchez@hotmail.com,13769,F
Antonio,Gonzalez,85851,2023-03-30,,,2023-03-30,rconley@gardner.org,67642,F
Randy,Crawford,91604,2024-01-18,2024-03-10,2024-03-16,2015-07-28,rphillips@peterson-sanders.com,61678,F
Virginia,Johnson,21744,2022-05-01,,,2022-05-01,rickey52@yahoo.com,10689,M
Stephanie,Wagner,58011,2022-07-27,,,2022-07-27,wpatel@gmail.com,21580,M
Darren,Smith,21125,2019-07-24,,,2019-07-24,amason@reyes.com,02320,M
Christine,Schneider,20978,2022-04-07,,,2022-04-07,rhondaberry@martinez-doyle.com,99408,M
Michael,Meyer,75732,2022-03-27,,,2022-03-27,jennifer50@miller-garrett.com,15728,F
Kyle,Pierce,14032,2021-10-26,2022-03-22,,2021-10-26,obanks@jones.com,24845,F
Pamela,Hall,42527,2019-07-30,,,2019-07-30,kevinfrench@yahoo.com,35675,F
Brittany,Ramirez,47285,2023-02-09,,,2023-02-09,shannon17@yahoo.com,39061,F
Jennifer,Dunn,98583,2023-03-06,,,2023-03-06,pwhitehead@gmail.com,61613,M
Jose,Bruce,31178,2020-12-09,,,2020-12-09,harrisamber@johnson.com,50953,F
Stephanie,Jackson,23371,2024-03-13,,,2024-03-13,nicoleramos@gmail.com,62377,F
Andrew,Dean,48195,2020-06-15,,,2020-06-15,jonesedward@nash-johnson.com,33029,F
Willie,Garcia,41466,2022-10-24,,,2022-10-24,scottholly@cooley-cook.info,05765,F
Brady,Sandoval,25953,2020-12-27,,,2020-12-27,shelby89@payne.com,48269,M
Aimee,Johnson,27626,2019-06-27,,,2019-06-27,ashleymcfarland@smith.com,77846,M
Paul,Bowers,37108,2022-10-29,,,2022-10-29,barreraalicia@hotmail.com,43165,M
Marie,Schroeder,74399,2020-07-23,,,2020-07-23,robinsonjake@hotmail.com,01415,M
Mikayla,Barnes,66311,2019-11-04,2020-08-04,2023-06-27,2018-12-22,lydia52@hotmail.com,64026,F
Diane,Summers,16235,2022-05-16,2024-01-29,,2022-05-16,bennettscott@hotmail.com,90806,M
Thomas,Levy,98397,2020-08-20,2023-11-09,2024-01-26,2020-07-03,jonesmadison@yahoo.com,21274,F
Justin,Carr,97658,2021-02-19,,,2021-02-19,tiffany47@hotmail.com,66533,F
Shane,Hernandez,78541,2021-03-22,2023-10-24,2024-03-03,2019-08-17,kyle94@yahoo.com,96179,F
Breanna,Simmons,98353,2022-04-27,,,2022-04-27,steven64@mcdonald.info,24203,M
Danielle,Gordon,74645,2023-07-19,2024-01-30,2024-02-07,2015-02-11,omendoza@hotmail.com,77621,M
Allen,Rivers,88248,2023-11-26,,,2023-11-26,noahthompson@yahoo.com,43005,M
Tara,Bailey,69491,2020-01-20,,,2020-01-20,uwolf@chan.com,34126,M
Janet,Wagner,49566,2019-12-24,,,2019-12-24,michael55@yahoo.com,34265,M
Brenda,Boyd,47034,2021-03-12,,,2021-03-12,michelle82@gmail.com,36654,M
Jennifer,Smith,62895,2023-06-01,,,2023-06-01,christineortiz@ford-smith.com,51267,F
Marie,Zimmerman,50770,2019-05-21,,,2019-05-21,amanda92@smith.info,18785,M
Roger,Martin,85917,2021-03-04,2023-02-28,,2021-03-04,meyerrobert@williams-cox.biz,75351,F
Kevin,Robinson,28273,2021-10-05,,,2021-10-05,david53@mckee-salazar.org,67825,F
Elizabeth,Richards,37167,2020-02-19,2023-12-20,,2020-02-19,kelliegross@yahoo.com,20126,F
Kayla,Ibarra,29204,2019-04-28,2019-08-28,2024-02-10,2017-07-19,zle@patel.biz,91671,M
Julie,Davis,59861,2023-06-12,,,2023-06-12,uwheeler@galloway-nichols.com,38121,M
Helen,Wilson,45725,2023-03-06,,,2023-03-06,lauren24@gmail.com,96499,M
